References	Quantity	Manufacturer	Part Number	Description	Digikey	Mouser	RS	Newark	Farnell
C1,C2	2	Vishay	VJ0603A220JXACW1BC		BC1229TR-ND	77-VJ0603A220JXACBC		57J8941	
C12,C13,C14,C15	4	Vishay	VJ0603Y472KXACW1BC		BC1250TR-ND	77-VJ0603Y472KXACBC		58J0816	
C10,C11,C32,C4,C5,C7,C8,C9,C34	9	Yageo	CC0603ZRY5V9BB104		311-1343-1-ND	CC0603ZRY5V9BB104	6169565	68R4839	2366349
C3,C33	2	Murata	GRM188R61C105KA93D		490-1536-1-ND	81-GRM39R105K16	7235578	14T3307	1828801
C6	1	AVX	F931A106KAA		478-8192-1-ND	647-F931A106KAA		35B9030	
D1,D10,D11,D12,D13,D14,D15,D16,D2,D3,D4,D5,D6,D7,D8,D9	16	Lumex	SSL-LXA228SIC-TR31		67-2243-6-ND	696-LLXA228SICTR31		89T9046	2062556
R1,R2	2	Panasonic	ERJ-3EKF22R0V		P22.0HCT-ND	667-ERJ-3EKF22R0V		64R5327	2302996
R3,R5,R7,R9	4	Panasonic	ERJ-3EKF4700V		P470HCT-ND	667-ERJ-3EKF4700V		64R5348	2397666
R11,R13,R15,R16,R17,R18,R4,R8	8	Panasonic	ERJ-3EKF1001V		P1.00KHCT-ND	667-ERJ-3EKF1001V	8145889	64R5308	2303145
R19,R20	2	Panasonic	ERJ-3EKF1002V		P10.0KHCT-ND	667-ERJ-3EKF1002V		64R5309	2303192
R10,R12,R14,R6	4	Panasonic	ERJ-3EKF1004V		P1.00MHCT-ND	667-ERJ-3EKF1004V		64R5311	2303325
L1	1	Murata	BLM18PG221SN1D		490-5221-1-ND	81-BLM18PG221SN1D	7241390	73M9111	1515740
L2,L3	2	TDK	MLZ1608N100L		445-6755-6-ND	810-MLZ1608N100L		71T8203	
U1	1	Atmel	ATMEGA32U4-AU		ATMEGA32U4-AURCT-ND	ATMEGA32U4-AUR	7153805	68T2839	2443182
U2,U3	2	NXP Semiconductors	74LVC1G19GW,125		568-7764-1-ND	771-LVC1G19GW125		85X2998	2445004
U4	1	Microchip	MCP1700T-3302E/TT		MCP1700T3302ETTCT-ND	MCP1700T-3302E/TT	6989044	88H9817	1296592
X1	1		TSX-3225 16.0000MF10U-B0		TSX-3225	732-322516MF10U-B0			
J1	1	FCI	10118192-0001LF		609-4613-1-ND	649-10118192-0001LF		67T2258	2506568
J2	1	Molex	15-91-3060		159130-6002-ND	538-15-91-3060		91M1913	
